_id,order_type,order_type2,algorithm,period,mm,active
ObjectId("5ded3f5c00170832943a28fe"),buy,,MMEvol,1,5,true
ObjectId("5ded3f5c00170832943a28ff"),buy,,MMEvol,1,15,true
ObjectId("5ded3f5c00170832943a2900"),buy,,MMEvol,1,30,true
ObjectId("5ded3f5c00170832943a2901"),buy,,MMEvol,1,45,true
ObjectId("5ded3f5c00170832943a2902"),buy,,MMEvol,1,60,true
ObjectId("5ded3f5c00170832943a2903"),buy,,MMEvol,1,75,true
ObjectId("5ded3f5c00170832943a2904"),buy,,MMEvol,1,90,true
ObjectId("5ded3f5c00170832943a2905"),buy,,MMEvol,1,105,true
ObjectId("5ded3f5c00170832943a2906"),buy,,MMEvol,1,120,true
ObjectId("5ded3f5c00170832943a2907"),buy,,MMEvol,1,180,true
ObjectId("5ded3f5c00170832943a2908"),buy,,MMEvol,1,360,true
ObjectId("5ded3f5c00170832943a2909"),buy,,MMEvol,1,540,true
ObjectId("5ded3f5c00170832943a290a"),buy,,MMEvol,1,720,true
ObjectId("5ded3f5c00170832943a290b"),buy,,MMEvol,1,1440,true
ObjectId("5ded3f5c00170832943a290d"),buy,,MMEvol,5,5,true
ObjectId("5ded3f5c00170832943a290e"),buy,,MMEvol,5,15,true
ObjectId("5ded3f5c00170832943a290f"),buy,,MMEvol,5,30,true
ObjectId("5ded3f5c00170832943a2910"),buy,,MMEvol,5,45,true
ObjectId("5ded3f5c00170832943a2911"),buy,,MMEvol,5,60,true
ObjectId("5ded3f5c00170832943a2912"),buy,,MMEvol,5,75,true
ObjectId("5ded3f5c00170832943a2913"),buy,,MMEvol,5,90,true
ObjectId("5ded3f5c00170832943a2914"),buy,,MMEvol,5,105,true
ObjectId("5ded3f5c00170832943a2915"),buy,,MMEvol,5,120,true
ObjectId("5ded3f5c00170832943a2916"),buy,,MMEvol,5,180,true
ObjectId("5ded3f5c00170832943a2917"),buy,,MMEvol,5,360,true
ObjectId("5ded3f5c00170832943a2918"),buy,,MMEvol,5,540,true
ObjectId("5ded3f5c00170832943a2919"),buy,,MMEvol,5,720,true
ObjectId("5ded3f5c00170832943a291a"),buy,,MMEvol,5,1440,true
ObjectId("5ded3f5c00170832943a291c"),buy,,MMEvol,15,5,true
ObjectId("5ded3f5c00170832943a291d"),buy,,MMEvol,15,15,true
ObjectId("5ded3f5c00170832943a291e"),buy,,MMEvol,15,30,true
ObjectId("5ded3f5c00170832943a291f"),buy,,MMEvol,15,45,true
ObjectId("5ded3f5c00170832943a2920"),buy,,MMEvol,15,60,true
ObjectId("5ded3f5c00170832943a2921"),buy,,MMEvol,15,75,true
ObjectId("5ded3f5c00170832943a2922"),buy,,MMEvol,15,90,true
ObjectId("5ded3f5c00170832943a2923"),buy,,MMEvol,15,105,true
ObjectId("5ded3f5c00170832943a2924"),buy,,MMEvol,15,120,true
ObjectId("5ded3f5c00170832943a2925"),buy,,MMEvol,15,180,true
ObjectId("5ded3f5c00170832943a2926"),buy,,MMEvol,15,360,true
ObjectId("5ded3f5c00170832943a2927"),buy,,MMEvol,15,540,true
ObjectId("5ded3f5c00170832943a2928"),buy,,MMEvol,15,720,true
ObjectId("5ded3f5c00170832943a2929"),buy,,MMEvol,15,1440,true
ObjectId("5ded3f5c00170832943a292b"),buy,,MMEvol,30,5,true
ObjectId("5ded3f5c00170832943a292c"),buy,,MMEvol,30,15,true
ObjectId("5ded3f5c00170832943a292d"),buy,,MMEvol,30,30,true
ObjectId("5ded3f5c00170832943a292e"),buy,,MMEvol,30,45,true
ObjectId("5ded3f5c00170832943a292f"),buy,,MMEvol,30,60,true
ObjectId("5ded3f5c00170832943a2930"),buy,,MMEvol,30,75,true
ObjectId("5ded3f5c00170832943a2931"),buy,,MMEvol,30,90,true
ObjectId("5ded3f5c00170832943a2932"),buy,,MMEvol,30,105,true
ObjectId("5ded3f5c00170832943a2933"),buy,,MMEvol,30,120,true
ObjectId("5ded3f5c00170832943a2934"),buy,,MMEvol,30,180,true
ObjectId("5ded3f5c00170832943a2935"),buy,,MMEvol,30,360,true
ObjectId("5ded3f5c00170832943a2936"),buy,,MMEvol,30,540,true
ObjectId("5ded3f5c00170832943a2937"),buy,,MMEvol,30,720,true
ObjectId("5ded3f5c00170832943a2938"),buy,,MMEvol,30,1440,true
ObjectId("5ded3f5c00170832943a293a"),buy,,MMEvol,45,5,true
ObjectId("5ded3f5c00170832943a293b"),buy,,MMEvol,45,15,true
ObjectId("5ded3f5c00170832943a293c"),buy,,MMEvol,45,30,true
ObjectId("5ded3f5c00170832943a293d"),buy,,MMEvol,45,45,true
ObjectId("5ded3f5c00170832943a293e"),buy,,MMEvol,45,60,true
ObjectId("5ded3f5c00170832943a293f"),buy,,MMEvol,45,75,true
ObjectId("5ded3f5c00170832943a2940"),buy,,MMEvol,45,90,true
ObjectId("5ded3f5c00170832943a2941"),buy,,MMEvol,45,105,true
ObjectId("5ded3f5c00170832943a2942"),buy,,MMEvol,45,120,true
ObjectId("5ded3f5c00170832943a2943"),buy,,MMEvol,45,180,true
ObjectId("5ded3f5c00170832943a2944"),buy,,MMEvol,45,360,true
ObjectId("5ded3f5c00170832943a2945"),buy,,MMEvol,45,540,true
ObjectId("5ded3f5c00170832943a2946"),buy,,MMEvol,45,720,true
ObjectId("5ded3f5c00170832943a2947"),buy,,MMEvol,45,1440,true
ObjectId("5ded3f5c00170832943a2949"),buy,,MMEvol,60,5,true
ObjectId("5ded3f5c00170832943a294a"),buy,,MMEvol,60,15,true
ObjectId("5ded3f5c00170832943a294b"),buy,,MMEvol,60,30,true
ObjectId("5ded3f5c00170832943a294c"),buy,,MMEvol,60,45,true
ObjectId("5ded3f5c00170832943a294d"),buy,,MMEvol,60,60,true
ObjectId("5ded3f5c00170832943a294e"),buy,,MMEvol,60,75,true
ObjectId("5ded3f5c00170832943a294f"),buy,,MMEvol,60,90,true
ObjectId("5ded3f5c00170832943a2950"),buy,,MMEvol,60,105,true
ObjectId("5ded3f5c00170832943a2951"),buy,,MMEvol,60,120,true
ObjectId("5ded3f5c00170832943a2952"),buy,,MMEvol,60,180,true
ObjectId("5ded3f5c00170832943a2953"),buy,,MMEvol,60,360,true
ObjectId("5ded3f5c00170832943a2954"),buy,,MMEvol,60,540,true
ObjectId("5ded3f5c00170832943a2955"),buy,,MMEvol,60,720,true
ObjectId("5ded3f5c00170832943a2956"),buy,,MMEvol,60,1440,true
ObjectId("5ded3f5c00170832943a2958"),buy,,MMEvol,75,5,true
ObjectId("5ded3f5c00170832943a2959"),buy,,MMEvol,75,15,true
ObjectId("5ded3f5c00170832943a295a"),buy,,MMEvol,75,30,true
ObjectId("5ded3f5c00170832943a295b"),buy,,MMEvol,75,45,true
ObjectId("5ded3f5c00170832943a295c"),buy,,MMEvol,75,60,true
ObjectId("5ded3f5c00170832943a295d"),buy,,MMEvol,75,75,true
ObjectId("5ded3f5c00170832943a295e"),buy,,MMEvol,75,90,true
ObjectId("5ded3f5c00170832943a295f"),buy,,MMEvol,75,105,true
ObjectId("5ded3f5c00170832943a2960"),buy,,MMEvol,75,120,true
ObjectId("5ded3f5c00170832943a2961"),buy,,MMEvol,75,180,true
ObjectId("5ded3f5c00170832943a2962"),buy,,MMEvol,75,360,true
ObjectId("5ded3f5c00170832943a2963"),buy,,MMEvol,75,540,true
ObjectId("5ded3f5c00170832943a2964"),buy,,MMEvol,75,720,true
ObjectId("5ded3f5c00170832943a2965"),buy,,MMEvol,75,1440,true
ObjectId("5ded3f5c00170832943a2967"),buy,,MMEvol,90,5,true
ObjectId("5ded3f5c00170832943a2968"),buy,,MMEvol,90,15,true
ObjectId("5ded3f5c00170832943a2969"),buy,,MMEvol,90,30,true
ObjectId("5ded3f5c00170832943a296a"),buy,,MMEvol,90,45,true
ObjectId("5ded3f5c00170832943a296b"),buy,,MMEvol,90,60,true
ObjectId("5ded3f5c00170832943a296c"),buy,,MMEvol,90,75,true
ObjectId("5ded3f5c00170832943a296d"),buy,,MMEvol,90,90,true
ObjectId("5ded3f5c00170832943a296e"),buy,,MMEvol,90,105,true
ObjectId("5ded3f5c00170832943a296f"),buy,,MMEvol,90,120,true
ObjectId("5ded3f5c00170832943a2970"),buy,,MMEvol,90,180,true
ObjectId("5ded3f5c00170832943a2971"),buy,,MMEvol,90,360,true
ObjectId("5ded3f5c00170832943a2972"),buy,,MMEvol,90,540,true
ObjectId("5ded3f5c00170832943a2973"),buy,,MMEvol,90,720,true
ObjectId("5ded3f5c00170832943a2974"),buy,,MMEvol,90,1440,true
ObjectId("5ded3f5c00170832943a2976"),buy,,MMEvol,105,5,true
ObjectId("5ded3f5c00170832943a2977"),buy,,MMEvol,105,15,true
ObjectId("5ded3f5c00170832943a2978"),buy,,MMEvol,105,30,true
ObjectId("5ded3f5c00170832943a2979"),buy,,MMEvol,105,45,true
ObjectId("5ded3f5c00170832943a297a"),buy,,MMEvol,105,60,true
ObjectId("5ded3f5c00170832943a297b"),buy,,MMEvol,105,75,true
ObjectId("5ded3f5c00170832943a297c"),buy,,MMEvol,105,90,true
ObjectId("5ded3f5c00170832943a297d"),buy,,MMEvol,105,105,true
ObjectId("5ded3f5c00170832943a297e"),buy,,MMEvol,105,120,true
ObjectId("5ded3f5c00170832943a297f"),buy,,MMEvol,105,180,true
ObjectId("5ded3f5c00170832943a2980"),buy,,MMEvol,105,360,true
ObjectId("5ded3f5c00170832943a2981"),buy,,MMEvol,105,540,true
ObjectId("5ded3f5c00170832943a2982"),buy,,MMEvol,105,720,true
ObjectId("5ded3f5c00170832943a2983"),buy,,MMEvol,105,1440,true
ObjectId("5ded3f5c00170832943a2985"),buy,,MMEvol,120,5,true
ObjectId("5ded3f5c00170832943a2986"),buy,,MMEvol,120,15,true
ObjectId("5ded3f5c00170832943a2987"),buy,,MMEvol,120,30,true
ObjectId("5ded3f5c00170832943a2988"),buy,,MMEvol,120,45,true
ObjectId("5ded3f5c00170832943a2989"),buy,,MMEvol,120,60,true
ObjectId("5ded3f5c00170832943a298a"),buy,,MMEvol,120,75,true
ObjectId("5ded3f5c00170832943a298b"),buy,,MMEvol,120,90,true
ObjectId("5ded3f5c00170832943a298c"),buy,,MMEvol,120,105,true
ObjectId("5ded3f5c00170832943a298d"),buy,,MMEvol,120,120,true
ObjectId("5ded3f5c00170832943a298e"),buy,,MMEvol,120,180,true
ObjectId("5ded3f5c00170832943a298f"),buy,,MMEvol,120,360,true
ObjectId("5ded3f5c00170832943a2990"),buy,,MMEvol,120,540,true
ObjectId("5ded3f5c00170832943a2991"),buy,,MMEvol,120,720,true
ObjectId("5ded3f5c00170832943a2992"),buy,,MMEvol,120,1440,true
ObjectId("5ded3f5c00170832943a2994"),buy,,MMEvol,180,5,true
ObjectId("5ded3f5c00170832943a2995"),buy,,MMEvol,180,15,true
ObjectId("5ded3f5c00170832943a2996"),buy,,MMEvol,180,30,true
ObjectId("5ded3f5c00170832943a2997"),buy,,MMEvol,180,45,true
ObjectId("5ded3f5c00170832943a2998"),buy,,MMEvol,180,60,true
ObjectId("5ded3f5c00170832943a2999"),buy,,MMEvol,180,75,true
ObjectId("5ded3f5c00170832943a299a"),buy,,MMEvol,180,90,true
ObjectId("5ded3f5c00170832943a299b"),buy,,MMEvol,180,105,true
ObjectId("5ded3f5c00170832943a299c"),buy,,MMEvol,180,120,true
ObjectId("5ded3f5c00170832943a299d"),buy,,MMEvol,180,180,true
ObjectId("5ded3f5c00170832943a299e"),buy,,MMEvol,180,360,true
ObjectId("5ded3f5c00170832943a299f"),buy,,MMEvol,180,540,true
ObjectId("5ded3f5c00170832943a29a0"),buy,,MMEvol,180,720,true
ObjectId("5ded3f5c00170832943a29a1"),buy,,MMEvol,180,1440,true
ObjectId("5ded3f5c00170832943a29a3"),buy,,MMEvol,360,5,true
ObjectId("5ded3f5c00170832943a29a4"),buy,,MMEvol,360,15,true
ObjectId("5ded3f5c00170832943a29a5"),buy,,MMEvol,360,30,true
ObjectId("5ded3f5c00170832943a29a6"),buy,,MMEvol,360,45,true
ObjectId("5ded3f5c00170832943a29a7"),buy,,MMEvol,360,60,true
ObjectId("5ded3f5c00170832943a29a8"),buy,,MMEvol,360,75,true
ObjectId("5ded3f5c00170832943a29a9"),buy,,MMEvol,360,90,true
ObjectId("5ded3f5c00170832943a29aa"),buy,,MMEvol,360,105,true
ObjectId("5ded3f5c00170832943a29ab"),buy,,MMEvol,360,120,true
ObjectId("5ded3f5c00170832943a29ac"),buy,,MMEvol,360,180,true
ObjectId("5ded3f5c00170832943a29ad"),buy,,MMEvol,360,360,true
ObjectId("5ded3f5c00170832943a29ae"),buy,,MMEvol,360,540,true
ObjectId("5ded3f5c00170832943a29af"),buy,,MMEvol,360,720,true
ObjectId("5ded3f5c00170832943a29b0"),buy,,MMEvol,360,1440,true
ObjectId("5ded3f5c00170832943a29b2"),buy,,MMEvol,540,5,true
ObjectId("5ded3f5c00170832943a29b3"),buy,,MMEvol,540,15,true
ObjectId("5ded3f5c00170832943a29b4"),buy,,MMEvol,540,30,true
ObjectId("5ded3f5c00170832943a29b5"),buy,,MMEvol,540,45,true
ObjectId("5ded3f5c00170832943a29b6"),buy,,MMEvol,540,60,true
ObjectId("5ded3f5c00170832943a29b7"),buy,,MMEvol,540,75,true
ObjectId("5ded3f5c00170832943a29b8"),buy,,MMEvol,540,90,true
ObjectId("5ded3f5c00170832943a29b9"),buy,,MMEvol,540,105,true
ObjectId("5ded3f5c00170832943a29ba"),buy,,MMEvol,540,120,true
ObjectId("5ded3f5c00170832943a29bb"),buy,,MMEvol,540,180,true
ObjectId("5ded3f5c00170832943a29bc"),buy,,MMEvol,540,360,true
ObjectId("5ded3f5c00170832943a29bd"),buy,,MMEvol,540,540,true
ObjectId("5ded3f5c00170832943a29be"),buy,,MMEvol,540,720,true
ObjectId("5ded3f5c00170832943a29bf"),buy,,MMEvol,540,1440,true
ObjectId("5ded3f5c00170832943a29c1"),buy,,MMEvol,720,5,true
ObjectId("5ded3f5c00170832943a29c2"),buy,,MMEvol,720,15,true
ObjectId("5ded3f5c00170832943a29c3"),buy,,MMEvol,720,30,true
ObjectId("5ded3f5c00170832943a29c4"),buy,,MMEvol,720,45,true
ObjectId("5ded3f5c00170832943a29c5"),buy,,MMEvol,720,60,true
ObjectId("5ded3f5c00170832943a29c6"),buy,,MMEvol,720,75,true
ObjectId("5ded3f5c00170832943a29c7"),buy,,MMEvol,720,90,true
ObjectId("5ded3f5c00170832943a29c8"),buy,,MMEvol,720,105,true
ObjectId("5ded3f5c00170832943a29c9"),buy,,MMEvol,720,120,true
ObjectId("5ded3f5c00170832943a29ca"),buy,,MMEvol,720,180,true
ObjectId("5ded3f5c00170832943a29cb"),buy,,MMEvol,720,360,true
ObjectId("5ded3f5c00170832943a29cc"),buy,,MMEvol,720,540,true
ObjectId("5ded3f5c00170832943a29cd"),buy,,MMEvol,720,720,true
ObjectId("5ded3f5c00170832943a29ce"),buy,,MMEvol,720,1440,true
ObjectId("5ded3f5c00170832943a29d0"),buy,,MMEvol,1440,5,true
ObjectId("5ded3f5c00170832943a29d1"),buy,,MMEvol,1440,15,true
ObjectId("5ded3f5c00170832943a29d2"),buy,,MMEvol,1440,30,true
ObjectId("5ded3f5c00170832943a29d3"),buy,,MMEvol,1440,45,true
ObjectId("5ded3f5c00170832943a29d4"),buy,,MMEvol,1440,60,true
ObjectId("5ded3f5c00170832943a29d5"),buy,,MMEvol,1440,75,true
ObjectId("5ded3f5c00170832943a29d6"),buy,,MMEvol,1440,90,true
ObjectId("5ded3f5c00170832943a29d7"),buy,,MMEvol,1440,105,true
ObjectId("5ded3f5c00170832943a29d8"),buy,,MMEvol,1440,120,true
ObjectId("5ded3f5c00170832943a29d9"),buy,,MMEvol,1440,180,true
ObjectId("5ded3f5c00170832943a29da"),buy,,MMEvol,1440,360,true
ObjectId("5ded3f5c00170832943a29db"),buy,,MMEvol,1440,540,true
ObjectId("5ded3f5c00170832943a29dc"),buy,,MMEvol,1440,720,true
ObjectId("5ded3f5c00170832943a29dd"),buy,,MMEvol,1440,1440,true
ObjectId("5e06605a465f694edc947d14"),sell,stop-loss,Keltner,,,false
ObjectId("5e0660c22ce6924edc3419f2"),sell,stop-loss,Keltner,,,false
ObjectId("5e0660ec2ce6924edc3419f3"),sell,stop-loss,Keltner,,,false
ObjectId("5e06610c2ce6924edc3419f4"),sell,stop-loss,Keltner,,,false
ObjectId("5e0661572ce6924edc3419f5"),sell,stop-loss,Keltner,,,true
ObjectId("5e067740465f694edc947d15"),all,,AutonomousRobot,,,true
